,ID,Spectral Class,Ra,Dec,flux(U),flux(B),flux(V),flux(R),flux(I),flux(G),flux(J),flux(H),flux(K)
5484,CLS  18,M,09 51 43.7015,+34 12 12.403,--,18.0,--,16.0,--,16.38422,13.834,13.204,12.934
5485,BD+61  1767,K,18 40 56.8578,+61 42 14.936,--,10.54,9.6,--,--,9.255672,7.689,7.147,7.052
5486,HD 148894,K,16 28 59.2131,+48 13 09.015,--,10.13,8.67,--,--,8.162565,6.123,5.416,5.212
5487,EM* GGR  191,B,00 33 05.5878,+59 04 02.722,--,16.1,--,13.66,--,13.085049,9.912,8.833,8.535
5488,IRAS 17272-3723,O,17 30 39.2546,-37 25 49.768,--,--,--,--,--,18.001368,9.769,7.974,6.846
5489,HD  70733,G,08 25 21.3137,+43 57 02.250,--,10.27,9.27,--,--,9.018662,7.538,7.06,6.941
5490,HD  59376,F,07 30 03.4137,+08 15 35.668,--,9.63,9.4,--,--,9.398193,9.044,9.004,8.941
5491,Cl Trumpler   37  1038,A,21 42 03.8206,+58 24 08.497,--,12.91,12.06,--,--,12.076489,10.926,10.85,10.726
5492,IRAS 17111-3611,O,17 14 31.0392,-36 14 25.078,--,--,--,--,--,13.117668,6.837,5.284,4.296
5493,TYC 3766-1896-1,G,06 41 51.9417,+53 18 46.206,--,11.58,11.16,--,--,10.990479,10.039,9.806,9.755
5494,CHSS  698,F,09 49 32.3126,+29 00 35.887,--,--,14.19,--,--,14.117469,13.448,13.291,13.256
5495,HD 283045,G,03 53 42.9303,+26 00 59.307,--,11.95,11.06,--,--,10.826657,9.209,8.685,8.593
5496,IRAS 17191-3722,O,17 22 32.0602,-37 25 39.466,--,--,--,--,--,15.549456,7.718,5.52,4.394
5497,BD+65   334,F,03 16 26.7178,+66 29 26.723,--,10.06,9.57,--,--,9.487137,8.637,8.408,8.386
5498,HD 159967,A,17 33 48.2836,+58 46 45.826,--,9.03,8.95,--,--,8.930113,8.707,8.736,8.704
5499,HD 272346,K,04 57 01.8658,-42 36 58.594,--,10.0,--,--,--,11.953147,10.553,10.087,10.03
5500,EM* GGA  112,B,01 49 08.6871,+59 48 32.686,--,--,12.38,12.19,--,12.147615,10.988,10.667,10.611
5501,IRAS 17186-3445,O,17 21 56.9748,-34 48 27.275,--,--,--,--,--,15.719705,9.618,7.005,5.284
5502,HD 286208,A,05 01 46.8560,+18 21 41.544,--,12.0,11.8,--,--,11.321555,10.115,9.945,9.845
5503,BD+63  1372,K,17 41 05.7070,+63 38 41.371,--,10.93,9.47,--,--,9.020962,6.966,6.289,6.067
5504,IRAS 17146-4158,O,17 18 12.3082,-42 01 28.941,--,--,--,--,--,14.97975,7.79,5.883,4.717
5505,BD+68  1054,K,19 13 46.4634,+68 47 09.596,--,12.13,10.87,--,--,10.480227,8.733,8.155,8.026
5506,HD  44296,G,06 25 59.3142,+65 54 09.973,--,10.28,9.74,--,--,9.59418,8.699,8.444,8.386
5507,HD 274195,K,05 27 22.5133,-43 23 49.171,--,12.0,--,--,--,11.20379,9.731,9.234,9.138
5508,HD 234169,K,14 43 28.0772,+49 28 55.961,--,10.69,9.66,--,--,9.376083,7.759,7.232,7.107
5509,HD 283241,G,03 59 52.9469,+26 18 21.691,--,12.47,11.76,--,--,11.651766,--,--,--
5510,HS 1304+4901,A,13 06 49.2614,+48 45 04.055,--,--,--,--,--,17.546534,16.332,16.083,--
5511,1E 170606+7107.1,G,17 05 30,+71 03.2,--,--,--,--,--,--,--,--,--
5512,BD+47  4070,F,23 12 10.2900,+48 34 06.149,--,11.47,10.81,--,--,10.698257,9.666,9.408,9.332
5513,BD+47   377,G,01 20 07.0296,+48 15 34.491,--,11.54,10.2,--,--,9.654045,7.515,6.794,6.629
5514,LS III +44   23,B,20 51 45.7110,+45 02 28.064,--,12.75,12.45,--,--,12.061689,11.233,10.95,10.863
5515,IRAS 16582-3059,O,17 01 29.8322,-31 04 19.016,--,--,--,--,--,--,--,--,13.563
5516,LS   V +57    1,B,02 15 10.6276,+57 43 45.899,--,12.05,11.52,--,--,11.810488,11.178,11.103,11.094
5517,HD  17694,A,03 06 16.2483,+84 38 02.672,--,9.03,8.79,--,--,9.175737,8.29,8.256,8.218
5518,CHSS  740,F,10 11 36.2404,+29 20 38.837,--,--,16.17,--,--,16.050379,15.209,14.959,14.79
5519,HD 284767,A,04 48 06.9247,+22 03 39.736,--,12.12,11.83,--,--,11.651778,10.885,10.774,10.681
5520,CHSS  574,F,09 05 19.7996,+27 57 03.449,--,--,--,--,--,14.660183,14.068,13.961,13.836
5521,CHSS  767,F,10 33 09.6122,+29 03 15.180,--,--,15.8,--,--,15.69047,14.854,14.525,14.478
5522,LS III +56   77,B,22 35 47.6492,+56 43 54.726,--,11.31,10.92,--,--,10.730727,9.744,9.65,9.594
5523,HD 278981,A,03 45 17.0283,+34 15 52.544,--,11.95,11.23,--,--,11.126555,9.789,9.623,9.401
5524,HD  35829,A,05 30 44.6671,+55 20 58.030,--,9.64,9.42,--,--,--,8.6,8.602,8.585
5525,HD  15237,A,02 30 35.6703,+67 34 40.222,--,9.7,9.33,--,--,9.239306,8.385,8.305,8.247
5526,FDF  1813,M,01 05 54.15,-25 43 22.4,--,24.7,--,--,--,--,--,--,--
5527,TYC 3047-729-1,G,15 00 22.8131,+42 23 20.000,--,12.32,11.66,--,--,11.599196,10.594,10.307,10.268
5528,AG+48 1344,G,17 46 45.6215,+48 55 58.243,--,12.5,11.6,--,--,11.750077,10.917,10.68,10.629
5529,LS III +56   36,B,22 15 14.4849,+56 46 14.658,12.95,13.1,12.44,12.33,--,12.253774,11.089,10.861,10.855
5530,V* V1190 Cyg,M,20 16 20.4114,+54 09 15.310,--,--,--,--,--,9.162362,5.173,4.518,3.832
5531,LS III +56   20,B,21 54 35.1859,+56 29 56.196,--,12.29,11.63,--,--,11.515719,10.187,10.023,9.914
5532,LS III +44   29,B,20 56 42.7677,+44 52 58.305,--,12.07,11.17,10.89,--,10.858122,8.98,8.73,8.517
5533,IRAS 17259-4119,O,17 29 27.1816,-41 22 00.368,--,--,--,--,--,12.229621,7.313,6.171,5.305
5534,HIP  53755,F,10 59 53.1769,+50 15 36.794,--,11.55,10.96,--,--,10.929845,10.18,9.961,9.91
5535,Cl Trumpler   37  1091,G,21 01 22.5124,+59 03 17.239,--,12.8,--,--,--,11.818035,10.622,10.31,10.143
5536,IRAS 17328-3502,O,17 36 10.1181,-35 04 42.225,--,--,--,--,--,--,11.292,8.776,7.185
5537,BD+45  3513,M,21 22 43.8187,+46 23 42.343,--,11.7,9.96,--,--,8.633704,5.535,4.505,4.211
5538,HD 282918,G,03 45 58.8029,+27 58 56.899,--,11.62,11.23,--,--,11.107342,10.047,9.76,9.698
5539,HD  24140,A,03 55 18.2746,+67 25 09.828,--,9.9,9.56,--,--,9.530704,8.965,8.957,8.937
5540,TYC 4060-193-1,G,02 53 30.7231,+66 07 35.209,--,12.73,12.02,--,--,11.663331,10.524,10.305,10.25
5541,HD  67540,F,08 11 09.3150,+53 45 33.993,--,9.63,9.28,--,--,9.243004,8.732,8.667,8.62
5542,RX J1744.1+7203,K,17 44 10.9137,+72 03 02.800,--,11.17,10.27,9.692,--,9.684693,8.03,7.459,7.352
5543,LS   I +58  102,B,02 58 42.5242,+58 47 27.888,11.84,11.6,10.9,--,--,10.705174,9.07,8.898,8.756
5544,BD+62  1056,K,09 13 29.8800,+61 41 09.308,--,11.33,10.33,--,--,10.121017,8.587,8.088,7.971
5545,LS   V +45   19,B,05 02 59.6702,+45 10 57.206,--,12.74,12.16,12.15,--,12.036121,11.012,10.9,10.825
5546,[BGK2006] HV 5,B,09 17 59.4745,+67 22 38.377,--,--,17.7,--,--,18.037315,--,--,--
5547,EC 10298-2231,F,10 32 16.4783,-22 47 03.197,--,16.35,15.93,--,--,15.789826,14.94,14.54,14.58
5548,BD+61  2460,K,23 29 49.6716,+62 43 09.331,--,10.39,8.94,--,--,8.447289,6.363,5.698,5.54
5549,RX J1805.1+6353,G,18 05 07.104,+63 53 26.02,--,--,--,--,--,--,--,--,--
5550,HD 282504,A,04 53 06.2247,+32 49 00.795,--,12.18,11.57,--,--,11.386069,10.259,10.144,10.031
5551,LS III +63   31,B,23 39 13.5853,+63 33 12.271,--,11.53,10.75,--,--,10.421005,8.754,8.581,8.436
5552,TYC 3199-2691-1,M,22 10 14.9381,+38 09 37.402,--,11.91,11.87,--,--,11.454282,10.782,10.62,10.581
5553,HD 214329,A,22 36 11.3903,+55 06 09.597,--,9.24,8.94,--,--,8.839377,8.125,8.056,7.999
5554,StKM 1-2063,K,22 55 05.5638,+47 16 28.693,--,11.4,10.1,--,--,9.775065,7.997,7.413,7.287
5555,FBS 2222-125,M,22 25 00.4959,-12 16 07.314,--,--,--,14.02,--,11.632089,8.002,7.13,6.8
5556,HD   2136,A,00 26 03.7470,+59 06 18.037,--,9.03,8.95,--,--,8.904018,8.645,8.659,8.657
5557,HD 178027,A,19 04 49.2818,+46 22 03.522,--,10.84,9.18,--,--,8.625635,6.421,5.667,5.458
5558,HD 189300,K,19 57 28.3802,+43 16 46.815,--,10.35,9.42,--,--,9.212185,7.722,7.32,7.176
5559,BD+41   540,K,02 47 51.0252,+41 55 55.385,--,11.1,9.82,--,--,9.620692,7.894,7.349,7.215
5560,HD  18190,F,02 55 49.4782,+19 09 12.784,--,9.41,9.04,--,--,8.9042,8.152,8.032,7.976
5561,2MASS J18590408-3105542,M,18 59 04.0768,-31 05 54.349,--,--,--,--,--,14.603366,12.232,11.341,11.138
5562,HD 249568,K,05 57 47.9130,+27 07 41.561,--,10.41,9.23,--,--,8.863713,7.085,6.486,6.369
5563,HD 278718,G,03 30 07.1833,+35 58 07.508,--,11.14,10.45,--,--,10.479863,9.05,8.654,8.604
5564,BD+53  1578,K,12 55 47.3142,+52 47 35.536,--,11.54,10.53,--,--,10.292091,8.741,8.202,8.133
5565,HD 284182,A,04 09 51.9037,+22 51 44.610,--,11.93,11.62,--,--,11.403288,--,--,--
5566,HS 1027+4930,K,10 30 36.3,+49 15 09,--,19.0,--,--,--,--,--,--,--
5567,OH 000.142+00.026,O,17 45 51.3256,-28 48 06.753,--,--,--,--,--,--,--,12.738,9.677
5568,CHSS  661,F,09 33 40.0579,+28 48 30.655,--,--,13.53,--,--,13.390218,12.662,12.467,12.427
5569,WT 1337,M,03 10 00.8399,-08 39 40.728,--,15.5,--,--,--,14.435113,--,--,--
5570,V* RY For,M,03 15 53.4878,-24 41 32.251,--,11.45,9.86,--,--,9.452091,--,--,--
5571,2E 0439.2-1622,K,04 41 31,-16 16.8,--,--,--,--,--,--,--,--,--
5572,BD+53  2684C,A,21 40 40.0614,+54 19 45.050,--,11.1,10.8,--,--,11.025434,--,--,--
5573,IRAS 16545-3604,O,16 57 52.4973,-36 08 53.611,--,--,--,--,--,13.401533,6.433,5.305,4.567
5574,V* V1824 Oph,M,17 18 33.4659,-18 01 19.279,--,--,--,--,--,13.133286,9.443,8.587,8.123
5575,IRAS 17271-3530,O,17 30 29.9316,-35 33 11.836,--,--,--,--,--,--,13.813,10.469,8.218
5576,HD 284539,A,04 36 48.3333,+22 19 46.505,--,12.11,11.56,--,--,11.349186,10.388,10.17,10.11
5577,CLS  11B,M,09 16 33.3279,+30 20 40.973,--,--,--,15.5,--,14.56496,11.85,11.282,10.989
5578,BD+48   124,K,00 26 08.7260,+49 28 03.045,--,9.66,8.48,--,--,8.161375,6.473,5.97,5.804
5579,IRAS 17319-3643,O,17 35 19.0269,-36 45 47.213,--,--,--,--,--,14.564832,8.128,6.439,5.437
5580,HD 135518,G,15 14 02.6712,+41 23 02.161,--,9.77,9.24,--,--,9.099569,8.14,7.898,7.848
5581,TYC 3290-1600-1,G,01 36 39.6131,+51 28 42.727,--,12.07,11.25,--,--,11.205314,9.889,9.509,9.45
5582,LS III +60   85,B,23 32 51.6075,+61 03 33.998,12.25,12.48,11.82,--,--,11.652113,10.442,10.334,10.241
5583,EM* UHA   14,B,20 44 45.1752,+46 07 04.830,--,15.5,14.5,--,--,14.859125,13.64,13.404,13.424
5584,HD 239547,G,21 00 54.5266,+59 29 06.908,--,10.42,9.94,--,--,--,8.659,8.487,8.397
5585,OH 356.38+00.29,O,17 35 31.8448,-31 51 13.287,--,--,--,--,--,--,15.35,11.697,8.977
5586,EM* GGA  100,B,01 46 36.1618,+59 32 36.741,--,11.9,11.2,--,--,11.266972,10.13,9.893,9.685
5587,2MASS J13535752+3436591,M,13 53 57.5342,+34 36 59.075,--,--,--,--,--,17.666279,14.887,14.286,14.105
5588,LS III +56  112,B,22 59 04.1460,+57 13 03.042,--,12.07,11.55,--,--,11.44769,10.306,10.268,10.149
5589,HD 276419,A,04 28 25.9885,+41 30 48.976,--,12.45,12.03,--,--,11.656953,10.835,10.72,10.672
5590,IRAS 05284+1945,O,05 31 24.8880,+19 47 19.561,--,--,--,--,--,--,--,16.036,11.643
5591,HD 224069,F,23 54 48.0950,+37 35 39.794,--,9.33,8.94,--,--,8.810576,7.959,7.833,7.78
5592,HD 276212,F,04 19 07.0370,+39 39 11.241,--,11.73,11.1,--,--,11.154837,9.919,9.743,9.656
5593,OH 359.755+00.061,O,17 44 47.9376,-29 06 49.928,--,--,--,--,--,--,15.473,11.403,9.393
5594,FBS 0644+635,B,06 49 07.5813,+63 29 16.086,--,--,15.7,--,--,16.171297,15.558,15.567,15.394
5595,TYC 4214-1848-1,K,18 26 53.3372,+61 15 45.997,--,11.43,11.22,--,--,11.026073,10.245,10.109,10.033
5596,LS   I +63   91,B,00 40 55.4277,+63 25 49.412,--,12.88,12.58,--,--,11.410304,9.976,9.72,9.556
5597,HD 279598,K,04 15 44.7100,+36 00 08.512,--,12.14,10.61,--,--,10.007672,7.655,6.873,6.655
5598,HD 208390,A,21 37 13.7009,+86 26 29.168,--,9.1,8.95,--,--,8.952241,8.658,8.667,8.588
5599,BD+48  4006,A,23 21 02.1033,+49 29 12.740,--,11.41,11.36,--,--,11.185967,10.689,10.578,10.558
5600,HD 157932,K,17 23 57.8518,+46 43 52.248,--,10.24,9.13,--,--,8.859868,7.251,6.733,6.652
5601,LS III +53   44,B,22 11 10.6270,+54 13 08.602,--,11.31,11.14,--,--,11.095424,10.75,10.785,10.796
5602,BD-02  3958,M,15 13 51.5171,-02 39 32.841,--,11.91,10.54,--,--,10.108178,7.965,7.208,6.99
5603,HD 174789,A,18 49 55.9060,+47 38 14.363,--,9.41,9.12,--,--,9.156995,8.761,8.719,8.673
5604,HD   3898,A,00 42 45.1326,+70 20 03.352,--,9.68,9.38,--,--,9.313401,8.684,8.649,8.599
5605,V* V560 Cep,M,21 36 10.4404,+55 41 11.079,--,14.26,12.24,11.89,--,10.363566,6.595,5.559,5.147
5606,HD  15431,A,02 30 50.8249,+53 51 39.489,--,9.99,9.85,--,--,9.879923,9.565,9.581,9.547
5607,Cl Trumpler   37    52,A,21 13 17.6687,+57 06 26.144,--,12.8,13.23,--,--,12.349,11.052,10.79,10.534
5608,HD  45204,G,06 31 01.0325,+64 53 48.098,--,9.78,9.25,--,--,9.386759,8.157,7.93,7.868
5609,CHSS  716,F,10 00 44.9527,+29 20 04.272,--,--,14.41,--,--,14.295377,13.37,13.045,13.035
5610,HD 222315,A,23 39 13.2864,+47 28 22.537,--,9.71,9.66,--,--,9.652795,9.461,9.463,9.393
5611,HD 275285,K,03 23 43.6349,+40 03 35.944,--,12.12,11.21,--,--,10.821646,9.17,8.721,8.615
5612,LS   I +60  275,B,02 52 27.1467,+60 18 34.932,--,12.81,12.34,12.34,--,12.219308,11.37,11.32,11.25
5613,HD 129408,G,14 40 56.4490,+45 31 46.193,--,10.67,10.08,--,--,9.921791,8.696,8.384,8.307
5614,LS III +56   57,B,22 27 34.1462,+56 44 55.478,--,13.5,--,--,--,12.310998,11.306,11.187,11.135
5615,BD+48  1272,G,05 27 51.3800,+48 11 26.846,--,11.57,11.03,--,--,11.034948,9.999,9.715,9.688
5616,TYC 4602-2370-1,K,23 21 31.0149,+76 34 10.391,--,12.41,11.19,--,--,10.87908,9.006,8.388,8.243
5617,HD  35669,K,05 27 55.0828,+34 53 30.707,--,9.45,8.47,--,--,8.220702,6.711,6.229,6.097
5618,LS   V +60    1,B,02 17 00.3471,+60 15 18.380,--,12.24,11.68,--,--,11.534964,10.187,10.0,9.871
5619,TYC 3611-1146-1,B,22 25 39.0408,+48 08 52.609,--,12.7,12.9,--,--,12.752933,12.813,12.879,12.897
5620,2MASS J22562723+6239197,K,22 56 27.2329,+62 39 19.840,16.778,--,13.89,--,12.1,13.249089,10.81,10.175,9.978
5621,HD 277149,A,04 54 10.2107,+40 34 34.184,--,12.13,11.73,--,--,11.546604,10.915,10.852,10.768
5622,HD 279872,G,04 26 40.2257,+37 00 48.241,--,12.34,11.551,11.096,10.612,11.499236,9.937,9.618,9.534
5623,IRAS 17130-3531,O,17 16 22.6135,-35 34 19.646,--,--,--,--,--,--,11.18,8.545,6.882
5624,HD  22815,G,03 40 56.8940,+26 19 37.291,--,10.41,9.83,--,--,9.677074,8.728,8.394,8.372
5625,2MASSs J0255372+204311,M,02 55 37.26,+20 43 11.2,--,--,--,--,--,--,--,--,--
5626,2MASS J18572037-3104482,M,18 57 20.3739,-31 04 48.247,--,--,--,--,--,13.943737,11.083,10.136,9.846
5627,BPS CS 22892-0011,F,22 03 02.5812,-15 01 41.970,14.6,14.49,14.13,--,--,14.036799,13.403,13.2,13.3
5628,BD+43   523A,M,02 33 58.3181,+44 09 28.777,--,11.37,10.23,--,--,9.837536,8.072,7.507,7.367
5629,LS III +62   42,B,23 24 04.6430,+62 21 45.791,--,11.91,11.69,--,--,11.171997,9.608,9.427,9.278
5630,BD+48   457,M,01 32 10.6608,+49 13 29.608,--,12.2,10.3,--,--,12.235811,11.563,11.386,11.349
5631,HD 203455,K,21 21 11.5434,+38 55 42.768,--,9.97,8.75,--,--,8.441876,6.755,6.167,6.047
5632,AG+74  303,G,11 28 38.6218,+74 34 03.811,--,12.98,11.95,11.65,--,11.638069,10.124,9.654,9.516
5633,HD 140611,K,15 40 40.2101,+65 50 26.443,--,10.02,--,9.0,--,9.280889,8.249,7.966,7.894
5634,IRAS 17079-3545,O,17 11 16.5483,-35 49 20.166,--,--,--,--,--,12.982549,6.691,5.277,4.538
5635,HD 275385,K,03 27 29.9465,+39 07 42.127,--,12.22,10.97,--,--,10.564826,8.916,8.344,8.277
5636,EM* GGA   72,B,01 38 40.8823,+63 07 05.719,--,12.43,12.53,--,--,12.042579,10.874,10.626,10.372
5637,HD 282564,A,04 55 24.2368,+33 36 32.304,--,11.95,11.67,--,--,11.333418,10.021,9.832,9.714
5638,HD  52454,M,07 01 49.0002,+15 22 42.737,--,11.47,9.55,--,--,8.510659,5.824,4.951,4.613
5639,ISOGAL-P J173829.1-312616,O,17 38 29.0166,-31 26 17.436,--,--,--,--,--,20.969734,11.008,7.943,6.295
5640,HD 219674,A,23 17 10.1909,+54 34 00.864,--,9.48,9.46,--,--,9.408787,9.24,9.232,9.206
5641,IRAS 17405-3513,O,17 43 57.6107,-35 15 06.896,--,--,--,--,--,9.915009,4.891,3.56,3.149
5642,IRAS 17117-3854,O,17 15 07.6341,-38 57 24.161,--,--,--,--,--,12.010909,6.001,4.5,3.92
5643,V* V2142 Ori,M,05 35 04.6965,-05 24 35.931,--,--,--,--,16.575,19.718805,13.877,12.885,12.116
5644,IRAS 17109-3840,O,17 14 24.4447,-38 43 46.136,--,--,--,--,--,16.416477,9.052,7.028,5.813
5645,HD 193486,A,20 18 50.6292,+42 43 49.254,--,8.75,8.8,--,--,--,8.594,8.716,8.733
5646,BD+62  1321,G,13 54 07.5283,+61 54 26.961,--,11.7,11.37,--,--,11.159061,10.286,10.054,10.006
5647,BD+61   579,G,03 26 37.4213,+62 15 40.596,--,10.74,10.08,--,--,10.134604,9.196,8.957,8.852
5648,BD+81   418,F,13 15 01.0254,+80 39 12.294,--,11.52,11.14,--,--,10.950617,10.22,10.048,9.995
5649,Cl Trumpler   37  1691,G,21 20 18.8181,+59 50 59.901,--,13.22,11.84,--,--,11.104504,9.325,8.773,8.638
5650,HD 126481,G,14 24 15.9022,+50 14 57.026,--,--,--,8.5,--,8.802822,7.678,7.345,7.271
5651,OH 359.776-00.120,O,17 45 33.2640,-29 11 23.200,--,--,--,--,--,--,18.6,--,13.579
5652,CD-40  1318,G,04 17 54.1730,-40 01 55.630,--,11.67,10.82,10.3,--,10.666477,9.502,9.138,9.06
5653,IRAS 21221+5730,M,21 23 35.7945,+57 43 00.601,--,15.17,12.78,12.01,--,10.333743,6.295,5.22,4.773
5654,TYC 3158-1444-1,G,20 09 46.8981,+41 29 04.956,--,12.48,12.32,--,--,11.941029,11.04,10.853,10.795
5655,BD-22  2272,M,08 26 41.6710,-23 09 58.889,--,10.682,9.16,--,--,8.443283,6.137,5.372,5.102
5656,SBSS 1352+542,F,13 54 34.4005,+54 01 16.881,--,17.5,--,--,--,17.181158,16.301,16.004,15.767
5657,BD+81   413,K,13 05 32.4847,+81 11 40.553,--,11.63,10.57,--,--,10.368588,8.798,8.229,8.105
5658,LS III +58   21,B,22 17 11.2873,+58 59 56.245,--,12.65,11.46,--,--,11.737977,10.178,9.835,9.701
5659,HD 281964,F,04 24 12.0314,+33 00 21.405,--,12.03,11.46,--,--,11.360376,10.152,9.888,9.787
5660,V* RX Lyn,M,08 28 08.0414,+38 20 22.929,--,12.36,10.29,10.24,--,10.627837,8.082,7.312,6.945
5661,HD 278659,A,03 28 05.6935,+34 50 25.402,--,11.78,11.08,--,--,11.069954,10.02,9.828,9.768
5662,LBQS 0026+0021,F,00 29 03.0890,+00 37 39.272,--,18.6,--,18.0,--,18.156752,--,--,--
5663,V* V365 Sct,M,18 58 34.4232,-09 57 59.958,--,--,--,--,--,13.918127,9.032,8.098,7.583
5664,HS 1641+4813,A,16 42 41.1,+48 08 24,--,--,--,--,--,--,--,--,--
5665,HD  37538,F,05 40 15.7735,+24 57 55.661,--,9.75,9.25,9.31,--,9.157893,8.338,8.205,8.096
5666,TYC 4077-683-1,G,04 21 23.5451,+67 00 34.572,--,12.07,10.79,--,--,10.245565,8.154,7.502,7.337
5667,LS III +54   86,B,23 46 55.0174,+55 07 24.567,--,10.98,10.87,--,--,10.955776,10.779,10.791,10.798
5668,CHSS   66,F,10 53 10.0,+29 31 04,--,--,15.41,--,--,--,--,--,--
5669,BD+42  1471,F,06 03 15.7048,+42 39 58.846,--,9.63,9.2,--,--,9.097823,8.355,8.138,8.087
5670,[SLB2015] 20421,F,22 17 43.5485,+00 21 16.433,--,--,--,20.5,--,20.289991,--,--,20.9
5671,HS 1516+4441,M,15 18 02.956,+44 30 54.00,--,--,--,--,--,--,13.138,12.509,12.286
5672,[KPM2006] 202,K,05 35 46.8227,-05 16 46.935,--,18.527,17.139,--,14.263,15.845965,--,--,--
5673,AG+82  409,M,14 00 46.9247,+82 22 05.644,--,12.26,10.73,--,--,9.553968,6.629,5.725,5.457
5674,LS  II +39   26,B,20 19 31.9897,+39 22 21.796,--,10.56,10.18,--,--,10.014465,8.933,8.832,8.763
5675,IRAS 16502-3542,O,16 53 35.4498,-35 47 00.148,--,--,--,--,--,13.407485,7.315,6.045,5.314
5676,HD 208133,G,21 51 37.3720,+65 45 08.529,--,--,7.3,--,--,7.230734,--,--,--
5677,HS 1609+4518,F,16 11 20.9,+45 11 08,--,19.0,--,--,--,--,--,--,--
5678,BD+66    91,B,01 04 38.3790,+66 54 47.089,--,11.25,10.53,--,--,10.047432,8.506,8.285,8.175
5679,Cl Trumpler   37   633,K,21 17 26.7968,+58 10 59.524,--,11.6,10.38,--,--,9.882775,7.879,7.267,7.104
5680,BD+63  1317,G,17 00 09.0315,+62 58 42.932,--,11.26,10.68,--,--,10.595527,9.583,9.287,9.231
5681,HD 192933,A,20 15 30.2255,+47 39 23.504,--,8.62,8.32,--,--,8.282167,7.738,7.609,7.577
5682,NGC  6910    36,A,20 23 02.5786,+40 46 28.825,13.796,13.773,13.035,--,11.963,12.699286,11.19,10.951,10.832
5683,HD 174790,K,18 50 07.0372,+45 28 26.863,--,10.32,9.16,8.7,--,8.915902,7.255,6.739,6.63
5684,IRAS 17281-3807,O,17 31 36.8620,-38 10 07.980,--,--,--,--,--,18.07708,7.629,5.835,4.686
5685,IRAS 17048-3733,O,17 08 16.6723,-37 37 30.385,--,--,--,--,--,--,--,12.802,10.105
5686,IRAS 16446-4243,O,16 48 10.9093,-42 49 09.527,--,--,--,--,--,18.737583,9.56,6.728,4.865
5687,HD  51584,F,06 58 36.2666,+16 29 08.895,--,11.17,11.14,--,--,11.092428,10.931,10.934,10.884
5688,HD 143642,G,15 59 51.5800,+43 06 06.669,--,10.46,9.89,--,--,9.632,8.544,8.263,8.325
5689,BD+52   451,K,01 51 56.6328,+53 29 12.547,--,10.68,9.59,--,--,9.278437,7.612,7.072,6.974
5690,HD  15341,A,02 41 26.0725,+84 16 53.693,--,9.61,9.3,--,--,9.246157,8.573,8.494,8.467
5691,BD+61  1883,K,19 35 41.8131,+62 02 09.126,--,10.94,9.34,--,--,8.425351,5.786,4.993,4.733
5692,HD 284950,A,05 02 03.2815,+23 26 03.416,--,11.97,11.56,--,--,11.518404,10.684,10.549,10.514
5693,HD  93150,K,10 46 29.3429,+54 48 46.080,--,10.14,8.93,--,--,8.596835,6.894,6.289,6.146
5694,BD+63  1153,G,14 50 50.8663,+62 38 15.172,--,10.4,9.8,--,--,9.623971,--,--,--
5695,IRAS 17236-4236,O,17 27 14.1262,-42 38 41.818,--,--,--,--,--,11.291213,5.676,4.475,3.793
5696,CHSS  562,F,09 00 43.5121,+29 25 49.473,--,--,14.2,--,--,14.0739,13.139,12.801,12.819
5697,HD  24243,G,03 52 20.2245,+22 11 13.168,--,10.4,9.9,--,--,9.739438,8.79,8.568,8.479
5698,V* V2117 Cyg,B,20 20 39.1901,+43 07 37.182,--,9.27,8.98,--,--,8.85221,8.114,8.088,8.019
5699,HD  31266,G,04 56 30.6096,+46 27 03.725,--,9.11,8.65,--,--,8.515779,7.709,7.518,7.435
5700,TYC 3997-2299-1,A,23 06 15.3683,+58 34 27.028,--,11.58,11.47,--,--,11.204133,10.423,10.281,10.23
5701,BD+47  2776,G,19 11 56.3674,+47 57 20.343,--,10.85,9.71,--,--,9.418318,7.737,7.173,7.089
5702,IRAS 17342-3627,O,17 37 35.7340,-36 29 42.739,--,--,--,--,--,14.010716,7.38,5.96,5.021
5703,IRAS 17247-3605,O,17 28 12.3477,-36 08 03.631,--,--,--,--,--,--,12.466,9.043,6.657
5704,HD  81190,A,09 28 49.3733,+72 58 46.779,--,9.77,9.56,--,--,9.534869,9.103,8.995,8.968
5705,LS   V +56   55,B,04 07 06.2817,+56 14 33.218,13.622,11.2,10.69,--,--,10.548208,9.287,9.103,9.017
5706,LS III +45   37,B,20 56 21.9340,+45 37 18.577,--,11.6,11.24,--,--,11.077916,10.384,10.299,10.224
5707,HD 292737,F,06 54 06.9496,-01 11 40.578,--,11.82,11.79,--,--,11.434792,10.88,10.787,10.685
5708,HD 133891,G,15 05 33.2459,+40 02 57.891,--,9.94,9.45,--,--,9.338084,8.488,8.272,8.207
5709,HD 279247,K,04 00 43.2760,+35 14 48.776,--,12.52,10.87,--,--,10.71592,8.847,8.331,8.181
5710,SBSS 1607+608,G,16 08 20.1466,+60 40 21.200,--,--,--,--,--,15.02594,13.963,13.734,13.702
5711,HD 153558,G,16 57 59.4676,+47 05 55.121,--,9.79,9.21,--,--,9.080589,8.118,7.859,7.829
5712,EDS 010551-040455,M,01 08 23,-03 48.9,--,--,--,--,--,--,--,--,--
5713,IRAS 17172-3722,O,17 20 40.487,-37 25 09.01,--,--,--,--,--,--,13.28,10.168,7.805
